날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,91900.0,"하락  2,700",85100.0,93000.0,81900.0,34050.0,효성화학,298000
2020-03-16,83800.0,"하락  8,100",91300.0,92300.0,83800.0,18793.0,효성화학,298000
2020-03-17,81300.0,"하락  2,500",80000.0,84600.0,77100.0,13093.0,효성화학,298000
2020-03-18,72800.0,"하락  8,500",81200.0,82800.0,72800.0,27258.0,효성화학,298000
2020-03-19,51000.0,"하한가  21,800",74400.0,74400.0,51000.0,145795.0,효성화학,298000
2020-03-20,60900.0,"상승  9,900",53000.0,62500.0,51600.0,103539.0,효성화학,298000
2020-03-23,56300.0,"하락  4,600",55000.0,60600.0,54800.0,64888.0,효성화학,298000
2020-03-24,60400.0,"상승  4,100",59400.0,62100.0,57600.0,70205.0,효성화학,298000
2020-03-25,70600.0,"상승  10,200",63500.0,70700.0,62200.0,91142.0,효성화학,298000
2020-03-26,74700.0,"상승  4,100",73000.0,80200.0,69500.0,94266.0,효성화학,298000
2020-03-27,75300.0,상승  600,77900.0,80000.0,73100.0,62191.0,효성화학,298000
2020-03-30,76500.0,"상승  1,200",74900.0,77000.0,71800.0,37407.0,효성화학,298000
2020-03-31,82500.0,"상승  6,000",77800.0,86000.0,77700.0,56444.0,효성화학,298000
2020-04-01,87100.0,"상승  4,600",83100.0,93500.0,82500.0,65812.0,효성화학,298000
2020-04-02,89400.0,"상승  2,300",87800.0,91200.0,82800.0,37072.0,효성화학,298000
2020-04-03,88100.0,"하락  1,300",92000.0,92300.0,86400.0,23752.0,효성화학,298000
2020-04-06,88700.0,상승  600,90100.0,90100.0,87800.0,20759.0,효성화학,298000
2020-04-07,89100.0,상승  400,91600.0,91700.0,88300.0,26912.0,효성화학,298000
2020-04-08,90100.0,"상승  1,000",89000.0,92100.0,87500.0,27218.0,효성화학,298000
2020-04-09,95800.0,"상승  5,700",91100.0,96100.0,90000.0,41668.0,효성화학,298000
2020-04-10,94500.0,"하락  1,300",96400.0,96500.0,91300.0,27506.0,효성화학,298000
2020-04-13,89000.0,"하락  5,500",93000.0,93100.0,88500.0,39503.0,효성화학,298000
2020-04-14,93800.0,"상승  4,800",92000.0,96800.0,90300.0,65298.0,효성화학,298000
2020-04-16,94000.0,상승  200,93400.0,95400.0,92200.0,31912.0,효성화학,298000
2020-04-17,94900.0,상승  900,96400.0,96700.0,94800.0,21022.0,효성화학,298000
2020-04-20,99900.0,"상승  5,000",96800.0,103000.0,95600.0,50306.0,효성화학,298000
2020-04-21,103000.0,"상승  3,100",100500.0,104500.0,96000.0,65243.0,효성화학,298000
2020-04-22,101500.0,"하락  1,500",100000.0,103000.0,99600.0,24774.0,효성화학,298000
2020-04-23,111500.0,"상승  10,000",101000.0,115000.0,101000.0,51769.0,효성화학,298000
2020-04-24,116500.0,"상승  5,000",113500.0,119000.0,111500.0,69626.0,효성화학,298000
2020-04-27,120500.0,"상승  4,000",120000.0,126000.0,116500.0,53182.0,효성화학,298000
2020-04-28,119000.0,"하락  1,500",120500.0,121000.0,116000.0,36535.0,효성화학,298000
2020-04-29,115000.0,"하락  4,000",120000.0,121500.0,113500.0,58671.0,효성화학,298000
2020-05-04,116000.0,"상승  1,000",114500.0,120500.0,113000.0,64279.0,효성화학,298000
2020-05-06,119000.0,"상승  3,000",118000.0,123000.0,117000.0,41544.0,효성화학,298000
2020-05-07,121000.0,"상승  2,000",120000.0,123000.0,117500.0,21785.0,효성화학,298000
2020-05-08,122000.0,"상승  1,000",123000.0,125000.0,120500.0,20061.0,효성화학,298000
2020-05-11,119500.0,"하락  2,500",121000.0,122000.0,119000.0,18296.0,효성화학,298000
2020-05-12,111500.0,"하락  8,000",119000.0,119000.0,110000.0,62250.0,효성화학,298000
2020-05-13,111500.0,보합0,110500.0,113500.0,106500.0,32212.0,효성화학,298000
2020-05-14,112000.0,상승  500,112500.0,115000.0,111000.0,29220.0,효성화학,298000
2020-05-15,112000.0,보합0,114000.0,114500.0,111500.0,20868.0,효성화학,298000
2020-05-18,110000.0,"하락  2,000",112000.0,112000.0,105000.0,34083.0,효성화학,298000
2020-05-19,112500.0,"상승  2,500",113000.0,115500.0,111000.0,30544.0,효성화학,298000
2020-05-20,113000.0,상승  500,111000.0,113500.0,111000.0,14962.0,효성화학,298000
2020-05-21,115500.0,"상승  2,500",117000.0,118500.0,115000.0,35056.0,효성화학,298000
2020-05-22,115500.0,보합0,116000.0,118500.0,114000.0,18605.0,효성화학,298000
2020-05-25,115500.0,보합0,117500.0,117500.0,114000.0,22904.0,효성화학,298000
2020-05-26,118000.0,"상승  2,500",115500.0,118500.0,113500.0,27878.0,효성화학,298000
2020-05-27,119000.0,"상승  1,000",119000.0,121000.0,116500.0,26736.0,효성화학,298000
2020-05-28,114500.0,"하락  4,500",119000.0,120000.0,112000.0,33903.0,효성화학,298000
2020-05-29,112500.0,"하락  2,000",114000.0,115500.0,112500.0,16386.0,효성화학,298000
2020-06-01,114000.0,"상승  1,500",112500.0,114500.0,111500.0,18724.0,효성화학,298000
2020-06-02,114000.0,보합0,114000.0,114000.0,111000.0,19474.0,효성화학,298000
2020-06-03,116000.0,"상승  2,000",114000.0,117000.0,114000.0,30450.0,효성화학,298000
2020-06-04,116000.0,보합0,118000.0,118500.0,113500.0,22988.0,효성화학,298000
2020-06-05,115000.0,"하락  1,000",116000.0,116000.0,114000.0,9668.0,효성화학,298000
2020-06-08,115000.0,보합0,116000.0,116500.0,113500.0,12048.0,효성화학,298000
2020-06-09,116500.0,"상승  1,500",115500.0,118500.0,115000.0,22587.0,효성화학,298000
2020-06-10,115500.0,"하락  1,000",116500.0,117500.0,114500.0,10342.0,효성화학,298000
2020-06-11,114500.0,"하락  1,000",115500.0,117500.0,113000.0,24378.0,효성화학,298000
2020-06-12,110500.0,"하락  4,000",109000.0,112000.0,107000.0,33952.0,효성화학,298000
2020-06-15,100000.0,"하락  10,500",110500.0,111500.0,99500.0,41155.0,효성화학,298000
2020-06-16,106500.0,"상승  6,500",102000.0,107000.0,101500.0,16347.0,효성화학,298000
2020-06-17,105500.0,"하락  1,000",106500.0,107500.0,102500.0,13560.0,효성화학,298000
2020-06-18,105000.0,하락  500,106500.0,107000.0,103500.0,13995.0,효성화학,298000
2020-06-19,106000.0,"상승  1,000",106000.0,110500.0,105500.0,25628.0,효성화학,298000
2020-06-22,108000.0,"상승  2,000",107500.0,109500.0,105500.0,15300.0,효성화학,298000
2020-06-23,108000.0,보합0,110000.0,111000.0,107500.0,20013.0,효성화학,298000
2020-06-24,109500.0,"상승  1,500",108500.0,110000.0,108000.0,14929.0,효성화학,298000
2020-06-25,106000.0,"하락  3,500",106000.0,108500.0,105000.0,13372.0,효성화학,298000
2020-06-26,105500.0,하락  500,108000.0,108500.0,105000.0,8386.0,효성화학,298000
2020-06-29,102000.0,"하락  3,500",103500.0,104000.0,101500.0,14722.0,효성화학,298000
2020-06-30,105000.0,"상승  3,000",104000.0,106000.0,102000.0,12404.0,효성화학,298000
2020-07-01,103500.0,"하락  1,500",105000.0,106500.0,103500.0,8569.0,효성화학,298000
2020-07-02,104000.0,상승  500,103500.0,104000.0,102000.0,11206.0,효성화학,298000
2020-07-03,103500.0,하락  500,104000.0,105500.0,102500.0,8176.0,효성화학,298000
2020-07-06,106000.0,"상승  2,500",104500.0,106500.0,102500.0,12859.0,효성화학,298000
2020-07-07,104000.0,"하락  2,000",106500.0,108000.0,103500.0,8775.0,효성화학,298000
2020-07-08,105500.0,"상승  1,500",105500.0,105500.0,103500.0,6111.0,효성화학,298000
2020-07-09,104500.0,"하락  1,000",106000.0,106500.0,104000.0,7971.0,효성화학,298000
2020-07-10,103000.0,"하락  1,500",104500.0,104500.0,102500.0,14637.0,효성화학,298000
2020-07-13,106500.0,"상승  3,500",103500.0,108000.0,103000.0,13563.0,효성화학,298000
2020-07-14,105000.0,"하락  1,500",107000.0,107000.0,104500.0,7193.0,효성화학,298000
2020-07-15,108000.0,"상승  3,000",106000.0,108000.0,106000.0,13020.0,효성화학,298000
2020-07-16,114000.0,"상승  6,000",110000.0,116000.0,109000.0,53394.0,효성화학,298000
2020-07-17,109500.0,"하락  4,500",114000.0,114500.0,109500.0,30274.0,효성화학,298000
2020-07-20,107500.0,"하락  2,000",110000.0,110500.0,106000.0,21307.0,효성화학,298000
2020-07-21,106500.0,"하락  1,000",108000.0,108000.0,105500.0,20170.0,효성화학,298000
2020-07-22,111500.0,"상승  5,000",106500.0,113500.0,105500.0,39090.0,효성화학,298000
2020-07-23,108000.0,"하락  3,500",112000.0,113000.0,107000.0,26796.0,효성화학,298000
2020-07-24,106500.0,"하락  1,500",105000.0,107000.0,105000.0,21171.0,효성화학,298000
2020-07-27,110000.0,"상승  3,500",107000.0,111000.0,106500.0,24259.0,효성화학,298000
2020-07-28,108500.0,"하락  1,500",110000.0,110500.0,107000.0,15976.0,효성화학,298000
2020-07-29,108500.0,보합0,109000.0,109000.0,107000.0,12011.0,효성화학,298000
2020-07-30,109000.0,상승  500,108500.0,109500.0,106500.0,15416.0,효성화학,298000
2020-07-31,107000.0,"하락  2,000",109000.0,109500.0,106500.0,20223.0,효성화학,298000
2020-08-03,105000.0,"하락  2,000",105500.0,105500.0,100000.0,68596.0,효성화학,298000
2020-08-04,103500.0,"하락  1,500",105000.0,105000.0,102500.0,27390.0,효성화학,298000
2020-08-05,103500.0,보합0,104000.0,105000.0,102000.0,23146.0,효성화학,298000
2020-08-06,109500.0,"상승  6,000",103000.0,110500.0,102500.0,40399.0,효성화학,298000
2020-08-07,111000.0,"상승  1,500",110500.0,113500.0,108500.0,28612.0,효성화학,298000
2020-08-10,115000.0,"상승  4,000",111000.0,115000.0,109500.0,39444.0,효성화학,298000
2020-08-11,114500.0,하락  500,116500.0,117000.0,113000.0,24670.0,효성화학,298000
2020-08-12,113000.0,"하락  1,500",115000.0,115000.0,110500.0,20170.0,효성화학,298000
2020-08-13,113500.0,상승  500,113500.0,115000.0,112500.0,18975.0,효성화학,298000
2020-08-14,110500.0,"하락  3,000",113500.0,114000.0,109500.0,17271.0,효성화학,298000
2020-08-18,103500.0,"하락  7,000",109500.0,109500.0,102000.0,39335.0,효성화학,298000
2020-08-19,103500.0,보합0,103500.0,106500.0,102500.0,21840.0,효성화학,298000
2020-08-20,97800.0,"하락  5,700",102500.0,103500.0,97700.0,47698.0,효성화학,298000
2020-08-21,98600.0,상승  800,99100.0,100500.0,97800.0,13108.0,효성화학,298000
2020-08-24,97600.0,"하락  1,000",98000.0,98500.0,95500.0,11957.0,효성화학,298000
2020-08-25,100000.0,"상승  2,400",98800.0,103000.0,98500.0,18658.0,효성화학,298000
2020-08-26,100000.0,보합0,101500.0,101500.0,98600.0,15379.0,효성화학,298000
2020-08-27,98500.0,"하락  1,500",101500.0,101500.0,98300.0,12572.0,효성화학,298000
2020-08-28,99800.0,"상승  1,300",98500.0,102000.0,98500.0,17781.0,효성화학,298000
2020-08-31,99400.0,하락  400,100000.0,101000.0,98600.0,15398.0,효성화학,298000
2020-09-01,99800.0,상승  400,98800.0,100500.0,98700.0,10546.0,효성화학,298000
2020-09-02,100500.0,상승  700,101000.0,101500.0,99800.0,9236.0,효성화학,298000
2020-09-03,101500.0,"상승  1,000",101500.0,102500.0,100500.0,12521.0,효성화학,298000
2020-09-04,103000.0,"상승  1,500",98700.0,105000.0,98500.0,26661.0,효성화학,298000
2020-09-07,121000.0,"상승  18,000",103000.0,124000.0,101500.0,212196.0,효성화학,298000
2020-09-08,114000.0,"하락  7,000",122000.0,124500.0,113500.0,73567.0,효성화학,298000
2020-09-09,123000.0,"상승  9,000",119000.0,133500.0,117500.0,220906.0,효성화학,298000
2020-09-10,133500.0,"상승  10,500",125500.0,137000.0,121500.0,138310.0,효성화학,298000
2020-09-11,135000.0,"상승  1,500",135000.0,141000.0,132500.0,98434.0,효성화학,298000
2020-09-14,142500.0,"상승  7,500",140000.0,147000.0,137500.0,109680.0,효성화학,298000
2020-09-15,144000.0,"상승  1,500",146000.0,148500.0,138000.0,73136.0,효성화학,298000
2020-09-16,138000.0,"하락  6,000",142000.0,144000.0,137000.0,64657.0,효성화학,298000
2020-09-17,135000.0,"하락  3,000",137000.0,137000.0,130000.0,76404.0,효성화학,298000
2020-09-18,133000.0,"하락  2,000",134000.0,137000.0,130500.0,34323.0,효성화학,298000
2020-09-21,131000.0,"하락  2,000",133500.0,135500.0,128000.0,36052.0,효성화학,298000
2020-09-22,125000.0,"하락  6,000",130000.0,131000.0,123500.0,39305.0,효성화학,298000
2020-09-23,124500.0,하락  500,126000.0,127500.0,117500.0,45371.0,효성화학,298000
2020-09-24,122000.0,"하락  2,500",121000.0,126000.0,119500.0,27399.0,효성화학,298000
2020-09-25,120000.0,"하락  2,000",123000.0,125500.0,119500.0,16801.0,효성화학,298000
2020-09-28,125500.0,"상승  5,500",121500.0,126000.0,121500.0,20509.0,효성화학,298000
2020-09-29,124000.0,"하락  1,500",127000.0,128000.0,124000.0,19442.0,효성화학,298000
2020-10-05,137500.0,"상승  13,500",124500.0,137500.0,124000.0,69124.0,효성화학,298000
2020-10-06,134500.0,"하락  3,000",137500.0,139500.0,133000.0,26655.0,효성화학,298000
