날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,4380.0,하락  135,4530.0,4775.0,4380.0,505167.0,휴비스,079980
2020-03-17,4295.0,하락  85,3985.0,4365.0,3945.0,661273.0,휴비스,079980
2020-03-18,3990.0,하락  305,4350.0,4530.0,3985.0,551517.0,휴비스,079980
2020-03-19,3180.0,하락  810,4115.0,4145.0,3000.0,854026.0,휴비스,079980
2020-03-20,3400.0,상승  220,3180.0,3460.0,3180.0,716097.0,휴비스,079980
2020-03-23,3230.0,하락  170,3160.0,3390.0,3100.0,316568.0,휴비스,079980
2020-03-24,3440.0,상승  210,3315.0,3450.0,3235.0,237160.0,휴비스,079980
2020-03-25,3625.0,상승  185,3555.0,3710.0,3505.0,423126.0,휴비스,079980
2020-03-26,3665.0,상승  40,3710.0,3910.0,3605.0,538013.0,휴비스,079980
2020-03-27,3905.0,상승  240,3850.0,4210.0,3690.0,920561.0,휴비스,079980
2020-03-30,4165.0,상승  260,3995.0,4190.0,3960.0,690190.0,휴비스,079980
2020-03-31,4270.0,상승  105,4250.0,4360.0,4120.0,619977.0,휴비스,079980
2020-04-01,4105.0,하락  165,4275.0,4360.0,4040.0,503438.0,휴비스,079980
2020-04-02,4350.0,상승  245,4290.0,4450.0,4050.0,738146.0,휴비스,079980
2020-04-03,4715.0,상승  365,4545.0,4940.0,4525.0,1358291.0,휴비스,079980
2020-04-06,5000.0,상승  285,4880.0,5060.0,4845.0,905666.0,휴비스,079980
2020-04-07,5000.0,보합0,5150.0,5170.0,4900.0,546525.0,휴비스,079980
2020-04-08,4980.0,하락  20,4950.0,5190.0,4910.0,363632.0,휴비스,079980
2020-04-09,5180.0,상승  200,5010.0,5230.0,4980.0,555139.0,휴비스,079980
2020-04-10,5100.0,하락  80,5220.0,5270.0,4940.0,372960.0,휴비스,079980
2020-04-13,5040.0,하락  60,5040.0,5120.0,4940.0,229383.0,휴비스,079980
2020-04-14,5100.0,상승  60,5080.0,5130.0,5040.0,191914.0,휴비스,079980
2020-04-16,5120.0,상승  20,5100.0,5130.0,4960.0,187637.0,휴비스,079980
2020-04-17,5180.0,상승  60,5150.0,5200.0,5110.0,245031.0,휴비스,079980
2020-04-20,5310.0,상승  130,5230.0,5400.0,5180.0,392520.0,휴비스,079980
2020-04-21,5200.0,하락  110,5300.0,5330.0,4930.0,384446.0,휴비스,079980
2020-04-22,5140.0,하락  60,5160.0,5160.0,4950.0,151529.0,휴비스,079980
2020-04-23,5190.0,상승  50,5160.0,5240.0,5130.0,161377.0,휴비스,079980
2020-04-24,5210.0,상승  20,5240.0,5370.0,5100.0,316005.0,휴비스,079980
2020-04-27,5350.0,상승  140,5250.0,5350.0,5250.0,217741.0,휴비스,079980
2020-04-28,5270.0,하락  80,5370.0,5390.0,5200.0,248239.0,휴비스,079980
2020-04-29,5440.0,상승  170,5270.0,5480.0,5260.0,315886.0,휴비스,079980
2020-05-04,5420.0,하락  20,5360.0,5450.0,5300.0,163387.0,휴비스,079980
2020-05-06,5470.0,상승  50,5430.0,5490.0,5390.0,127366.0,휴비스,079980
2020-05-07,5480.0,상승  10,5490.0,5510.0,5420.0,108408.0,휴비스,079980
2020-05-08,5570.0,상승  90,5510.0,5590.0,5490.0,119532.0,휴비스,079980
2020-05-11,5700.0,상승  130,5620.0,5830.0,5600.0,196268.0,휴비스,079980
2020-05-12,5620.0,하락  80,5750.0,5810.0,5550.0,203711.0,휴비스,079980
2020-05-13,5620.0,보합0,5580.0,5690.0,5450.0,213568.0,휴비스,079980
2020-05-14,5790.0,상승  170,5650.0,5960.0,5570.0,392319.0,휴비스,079980
2020-05-15,5690.0,하락  100,5810.0,5850.0,5580.0,326724.0,휴비스,079980
2020-05-18,5670.0,하락  20,5750.0,5820.0,5650.0,217717.0,휴비스,079980
2020-05-19,5590.0,하락  80,5680.0,5680.0,5520.0,288180.0,휴비스,079980
2020-05-20,5570.0,하락  20,5580.0,5640.0,5520.0,142287.0,휴비스,079980
2020-05-21,6030.0,상승  460,5650.0,6110.0,5590.0,1269025.0,휴비스,079980
2020-05-22,6090.0,상승  60,6000.0,6130.0,5870.0,798478.0,휴비스,079980
2020-05-25,6790.0,상승  700,6460.0,6950.0,6240.0,3596320.0,휴비스,079980
2020-05-26,7310.0,상승  520,7010.0,7630.0,7010.0,3060277.0,휴비스,079980
2020-05-27,7410.0,상승  100,7390.0,7510.0,7160.0,956814.0,휴비스,079980
2020-05-28,7010.0,하락  400,7340.0,7390.0,6800.0,762707.0,휴비스,079980
2020-05-29,6900.0,하락  110,6910.0,6990.0,6700.0,555122.0,휴비스,079980
2020-06-01,8080.0,"상승  1,180",6850.0,8100.0,6840.0,2115508.0,휴비스,079980
2020-06-02,7620.0,하락  460,7990.0,8060.0,7610.0,879889.0,휴비스,079980
2020-06-03,7190.0,하락  430,7670.0,7710.0,7170.0,715641.0,휴비스,079980
2020-06-04,7210.0,상승  20,7200.0,7370.0,7040.0,411252.0,휴비스,079980
2020-06-05,7270.0,상승  60,7210.0,7540.0,7210.0,503642.0,휴비스,079980
2020-06-08,7070.0,하락  200,7450.0,7470.0,7040.0,627121.0,휴비스,079980
2020-06-09,6910.0,하락  160,7140.0,7150.0,6840.0,431811.0,휴비스,079980
2020-06-10,6900.0,하락  10,6930.0,6970.0,6720.0,271258.0,휴비스,079980
2020-06-11,6550.0,하락  350,6900.0,6910.0,6410.0,554829.0,휴비스,079980
2020-06-12,6330.0,하락  220,6220.0,6590.0,6210.0,657868.0,휴비스,079980
2020-06-15,5760.0,하락  570,6350.0,6420.0,5750.0,543776.0,휴비스,079980
2020-06-16,6050.0,상승  290,5970.0,6110.0,5870.0,303609.0,휴비스,079980
2020-06-17,5960.0,하락  90,6020.0,6110.0,5840.0,297479.0,휴비스,079980
2020-06-18,6270.0,상승  310,5960.0,6270.0,5910.0,404949.0,휴비스,079980
2020-06-19,6320.0,상승  50,6290.0,6450.0,6220.0,228560.0,휴비스,079980
2020-06-22,6280.0,하락  40,6360.0,6370.0,6230.0,144224.0,휴비스,079980
2020-06-23,6200.0,하락  80,6360.0,6360.0,6160.0,156114.0,휴비스,079980
2020-06-24,6400.0,상승  200,6300.0,6520.0,6300.0,221861.0,휴비스,079980
2020-06-25,6260.0,하락  140,6390.0,6470.0,6150.0,158306.0,휴비스,079980
2020-06-26,6290.0,상승  30,6270.0,6400.0,6270.0,138506.0,휴비스,079980
2020-06-29,6340.0,상승  50,6290.0,6480.0,6230.0,176793.0,휴비스,079980
2020-06-30,6590.0,상승  250,6360.0,6700.0,6360.0,459330.0,휴비스,079980
2020-07-01,6350.0,하락  240,6680.0,6680.0,6320.0,310893.0,휴비스,079980
2020-07-02,6140.0,하락  210,6350.0,6480.0,6010.0,561062.0,휴비스,079980
2020-07-03,6120.0,하락  20,6200.0,6200.0,6080.0,162744.0,휴비스,079980
2020-07-06,6130.0,상승  10,6170.0,6180.0,6050.0,205959.0,휴비스,079980
2020-07-07,6100.0,하락  30,6140.0,6260.0,6050.0,235273.0,휴비스,079980
2020-07-08,6090.0,하락  10,6100.0,6110.0,6020.0,196555.0,휴비스,079980
2020-07-09,5970.0,하락  120,6100.0,6130.0,5960.0,256861.0,휴비스,079980
2020-07-10,6020.0,상승  50,5970.0,6110.0,5960.0,283079.0,휴비스,079980
2020-07-13,6390.0,상승  370,6120.0,6400.0,6080.0,578062.0,휴비스,079980
2020-07-14,6250.0,하락  140,6390.0,6400.0,6130.0,317421.0,휴비스,079980
2020-07-15,6270.0,상승  20,6260.0,6350.0,6200.0,243049.0,휴비스,079980
2020-07-16,6330.0,상승  60,6290.0,6370.0,6170.0,188932.0,휴비스,079980
2020-07-17,6540.0,상승  210,6330.0,6690.0,6310.0,672255.0,휴비스,079980
2020-07-20,6400.0,하락  140,6540.0,6600.0,6330.0,286907.0,휴비스,079980
2020-07-21,6510.0,상승  110,6460.0,6570.0,6380.0,272961.0,휴비스,079980
2020-07-22,6590.0,상승  80,6570.0,6670.0,6500.0,288305.0,휴비스,079980
2020-07-23,6590.0,보합0,6700.0,6700.0,6530.0,220409.0,휴비스,079980
2020-07-24,6480.0,하락  110,6580.0,6620.0,6430.0,200706.0,휴비스,079980
2020-07-27,6450.0,하락  30,6510.0,6520.0,6390.0,144804.0,휴비스,079980
2020-07-28,6450.0,보합0,6450.0,6490.0,6380.0,146392.0,휴비스,079980
2020-07-29,6430.0,하락  20,6460.0,6470.0,6370.0,96607.0,휴비스,079980
2020-07-30,6510.0,상승  80,6490.0,6510.0,6390.0,138720.0,휴비스,079980
2020-07-31,6590.0,상승  80,6560.0,6690.0,6440.0,216501.0,휴비스,079980
2020-08-03,6850.0,상승  260,6660.0,6850.0,6580.0,378464.0,휴비스,079980
2020-08-04,6910.0,상승  60,6860.0,7000.0,6820.0,380351.0,휴비스,079980
2020-08-05,7070.0,상승  160,6940.0,7140.0,6850.0,413393.0,휴비스,079980
2020-08-06,6950.0,하락  120,7140.0,7150.0,6910.0,295259.0,휴비스,079980
2020-08-07,7030.0,상승  80,6990.0,7070.0,6820.0,261926.0,휴비스,079980
2020-08-10,7130.0,상승  100,7100.0,7150.0,6990.0,261518.0,휴비스,079980
2020-08-11,7450.0,상승  320,7130.0,7520.0,7070.0,954733.0,휴비스,079980
2020-08-12,7360.0,하락  90,7370.0,7400.0,7160.0,405078.0,휴비스,079980
2020-08-13,7460.0,상승  100,7390.0,7950.0,7300.0,1617086.0,휴비스,079980
2020-08-14,7420.0,하락  40,7760.0,7780.0,7210.0,676979.0,휴비스,079980
