날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,5460.0,하락  890,6000.0,6000.0,5100.0,219981.0,휴스틸,005010
2020-03-16,5300.0,하락  160,5400.0,5640.0,5300.0,45220.0,휴스틸,005010
2020-03-17,5150.0,하락  150,4945.0,5250.0,4945.0,33304.0,휴스틸,005010
2020-03-18,4925.0,하락  225,5160.0,5300.0,4920.0,34339.0,휴스틸,005010
2020-03-19,4200.0,하락  725,4830.0,4950.0,4160.0,76671.0,휴스틸,005010
2020-03-20,4400.0,상승  200,4070.0,4500.0,4070.0,33826.0,휴스틸,005010
2020-03-23,4300.0,하락  100,4255.0,4480.0,4005.0,28929.0,휴스틸,005010
2020-03-24,4515.0,상승  215,4315.0,4530.0,4315.0,13325.0,휴스틸,005010
2020-03-25,4805.0,상승  290,4535.0,4970.0,4535.0,25521.0,휴스틸,005010
2020-03-26,5000.0,상승  195,4850.0,5080.0,4800.0,21583.0,휴스틸,005010
2020-03-27,5180.0,상승  180,5490.0,5490.0,5110.0,42607.0,휴스틸,005010
2020-03-30,5250.0,상승  70,5180.0,5290.0,5080.0,13521.0,휴스틸,005010
2020-03-31,5500.0,상승  250,5250.0,5680.0,5210.0,32204.0,휴스틸,005010
2020-04-01,5500.0,보합0,5410.0,5760.0,5410.0,24271.0,휴스틸,005010
2020-04-02,5700.0,상승  200,5320.0,5700.0,5320.0,9329.0,휴스틸,005010
2020-04-03,5780.0,상승  80,5700.0,5780.0,5630.0,8714.0,휴스틸,005010
2020-04-06,5970.0,상승  190,5780.0,5970.0,5780.0,19220.0,휴스틸,005010
2020-04-07,6100.0,상승  130,6000.0,6240.0,6000.0,23045.0,휴스틸,005010
2020-04-08,6100.0,보합0,6180.0,6180.0,6030.0,14251.0,휴스틸,005010
2020-04-09,6190.0,상승  90,6100.0,6210.0,6080.0,18037.0,휴스틸,005010
2020-04-10,6370.0,상승  180,6190.0,6390.0,6150.0,20239.0,휴스틸,005010
2020-04-13,6600.0,상승  230,6380.0,7600.0,6230.0,187351.0,휴스틸,005010
2020-04-14,6690.0,상승  90,6600.0,6750.0,6550.0,23571.0,휴스틸,005010
2020-04-16,6660.0,하락  30,6790.0,6790.0,6600.0,10205.0,휴스틸,005010
2020-04-17,6750.0,상승  90,6660.0,6980.0,6550.0,29657.0,휴스틸,005010
2020-04-20,7020.0,상승  270,6880.0,7120.0,6620.0,21414.0,휴스틸,005010
2020-04-21,6850.0,하락  170,7020.0,7020.0,6510.0,32899.0,휴스틸,005010
2020-04-22,6820.0,하락  30,6560.0,6820.0,6540.0,17509.0,휴스틸,005010
2020-04-23,6650.0,하락  170,6820.0,6820.0,6640.0,16535.0,휴스틸,005010
2020-04-24,6590.0,하락  60,6790.0,6790.0,6500.0,12102.0,휴스틸,005010
2020-04-27,6640.0,상승  50,6720.0,6760.0,6570.0,8442.0,휴스틸,005010
2020-04-28,6700.0,상승  60,6580.0,6720.0,6580.0,9564.0,휴스틸,005010
2020-04-29,6700.0,보합0,6700.0,6770.0,6510.0,15208.0,휴스틸,005010
2020-05-04,6630.0,하락  70,6680.0,6830.0,6550.0,11918.0,휴스틸,005010
2020-05-06,6710.0,상승  80,6660.0,6750.0,6610.0,12211.0,휴스틸,005010
2020-05-07,6690.0,하락  20,6710.0,6820.0,6650.0,9702.0,휴스틸,005010
2020-05-08,6820.0,상승  130,6690.0,6830.0,6690.0,14085.0,휴스틸,005010
2020-05-11,6830.0,상승  10,6900.0,6900.0,6770.0,8432.0,휴스틸,005010
2020-05-12,6720.0,하락  110,6880.0,6880.0,6600.0,15194.0,휴스틸,005010
2020-05-13,6700.0,하락  20,6560.0,6710.0,6550.0,2184.0,휴스틸,005010
2020-05-14,6590.0,하락  110,6700.0,6700.0,6560.0,3986.0,휴스틸,005010
2020-05-15,6490.0,하락  100,6610.0,6700.0,6430.0,15326.0,휴스틸,005010
2020-05-18,6500.0,상승  10,6680.0,6680.0,6410.0,6120.0,휴스틸,005010
2020-05-19,6630.0,상승  130,6670.0,6680.0,6530.0,12335.0,휴스틸,005010
2020-05-20,6770.0,상승  140,6670.0,6850.0,6670.0,16937.0,휴스틸,005010
2020-05-21,6830.0,상승  60,6850.0,6850.0,6730.0,12786.0,휴스틸,005010
2020-05-22,6770.0,하락  60,6830.0,6870.0,6730.0,17148.0,휴스틸,005010
2020-05-25,6790.0,상승  20,6780.0,6830.0,6660.0,10391.0,휴스틸,005010
2020-05-26,6860.0,상승  70,6790.0,7400.0,6720.0,139930.0,휴스틸,005010
2020-05-27,6820.0,하락  40,6880.0,7030.0,6760.0,39198.0,휴스틸,005010
2020-05-28,6620.0,하락  200,6860.0,6880.0,6510.0,31255.0,휴스틸,005010
2020-05-29,6640.0,상승  20,6560.0,6700.0,6500.0,18160.0,휴스틸,005010
2020-06-01,6720.0,상승  80,6560.0,6770.0,6560.0,21437.0,휴스틸,005010
2020-06-02,6820.0,상승  100,6710.0,6850.0,6700.0,33956.0,휴스틸,005010
2020-06-03,7160.0,상승  340,6860.0,7950.0,6820.0,353791.0,휴스틸,005010
2020-06-04,7200.0,상승  40,7250.0,7490.0,7170.0,138288.0,휴스틸,005010
2020-06-05,7200.0,보합0,7190.0,7360.0,7090.0,33200.0,휴스틸,005010
