날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2330.0,하락  270,2270.0,2345.0,2100.0,124460.0,흥국화재,000540
2020-03-16,2160.0,하락  170,2255.0,2520.0,2160.0,83849.0,흥국화재,000540
2020-03-17,1905.0,하락  255,1905.0,2075.0,1905.0,240505.0,흥국화재,000540
2020-03-18,1730.0,하락  175,1910.0,1995.0,1730.0,117970.0,흥국화재,000540
2020-03-19,1330.0,하락  400,1710.0,1730.0,1330.0,263935.0,흥국화재,000540
2020-03-20,1525.0,상승  195,1295.0,1540.0,1295.0,183750.0,흥국화재,000540
2020-03-23,1420.0,하락  105,1370.0,1520.0,1320.0,74318.0,흥국화재,000540
2020-03-24,1640.0,상승  220,1420.0,1795.0,1415.0,184559.0,흥국화재,000540
2020-03-25,1810.0,상승  170,1890.0,1945.0,1740.0,133869.0,흥국화재,000540
2020-03-26,1870.0,상승  60,1815.0,1965.0,1800.0,180272.0,흥국화재,000540
2020-03-27,1925.0,상승  55,1930.0,2075.0,1880.0,117672.0,흥국화재,000540
2020-03-30,2200.0,상승  275,1900.0,2300.0,1820.0,162440.0,흥국화재,000540
2020-03-31,2255.0,상승  55,2240.0,2400.0,2210.0,133084.0,흥국화재,000540
2020-04-01,2120.0,하락  135,2260.0,2400.0,2120.0,83925.0,흥국화재,000540
2020-04-02,2330.0,상승  210,2140.0,2520.0,2105.0,463089.0,흥국화재,000540
2020-04-03,2400.0,상승  70,2325.0,2895.0,2305.0,1070069.0,흥국화재,000540
2020-04-06,2420.0,상승  20,2360.0,2480.0,2350.0,127693.0,흥국화재,000540
2020-04-07,2430.0,상승  10,2430.0,2495.0,2405.0,91003.0,흥국화재,000540
2020-04-08,2400.0,하락  30,2430.0,2440.0,2380.0,94353.0,흥국화재,000540
2020-04-09,2495.0,상승  95,2405.0,2515.0,2390.0,106187.0,흥국화재,000540
2020-04-10,2530.0,상승  35,2490.0,2730.0,2410.0,235524.0,흥국화재,000540
2020-04-13,2415.0,하락  115,2530.0,2600.0,2415.0,67905.0,흥국화재,000540
2020-04-14,2415.0,보합0,2415.0,2580.0,2400.0,43447.0,흥국화재,000540
2020-04-16,2365.0,하락  50,2425.0,2480.0,2285.0,87825.0,흥국화재,000540
