회사명,종목코드,업종,상장일,시장구분,yf_ticker
DSR제강,069730,1차 철강 제조업,2003-01-28,코스피,069730.KS
GS글로벌,001250,상품 종합 도매업,1976-06-26,코스피,001250.KS
HDC랩스,039570,전기 및 통신 공사업,2015-09-24,코스피,039570.KS
HDC현대산업개발,294870,건물 건설업,2018-06-12,코스피,294870.KS
HD한국조선해양,009540,기타 금융업,1999-08-24,코스피,009540.KS
HD현대,267250,기타 금융업,2017-05-10,코스피,267250.KS
HL만도,204320,자동차 신품 부품 제조업,2014-10-06,코스피,204320.KS
LS네트웍스,000680,상품 종합 도매업,1973-11-15,코스피,000680.KS
NAVER,035420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2008-11-28,코스피,035420.KS
NICE평가정보,030190,기타 정보 서비스업,2023-08-08,코스피,030190.KS
SG세계물산,004060,상품 종합 도매업,1976-04-19,코스피,004060.KS
SK바이오사이언스,302440,기초 의약물질 제조업,2021-03-18,코스피,302440.KS
SK이터닉스,475150,건물 건설업,2024-03-29,코스피,475150.KS
경농,002100,"비료, 농약 및 살균, 살충제 제조업",1977-06-30,코스피,002100.KS
금호석유화학,011780,기초 화학물질 제조업,1988-01-22,코스피,011780.KS
금호에이치티,214330,자동차 신품 부품 제조업,2015-11-11,코스피,214330.KS
기업은행,024110,은행 및 저축기관,2003-12-24,코스피,024110.KS
넥센,005720,고무제품 제조업,1987-12-19,코스피,005720.KS
대덕전자,353200,전자부품 제조업,2020-05-21,코스피,353200.KS
대원전선,006340,절연선 및 케이블 제조업,1988-05-04,코스피,006340.KS
대한항공,003490,항공 여객 운송업,1966-03-18,코스피,003490.KS
대현,016090,봉제의복 제조업,1990-09-20,코스피,016090.KS
덴티움,145720,의료용 기기 제조업,2017-03-15,코스피,145720.KS
동성제약,002210,의약품 제조업,1990-01-19,코스피,002210.KS
동아에스티,170900,의약품 제조업,2013-04-08,코스피,170900.KS
동양,001520,"시멘트, 석회, 플라스터 및 그 제품 제조업",1976-06-25,코스피,001520.KS
동원금속,018500,자동차 신품 부품 제조업,1995-11-10,코스피,018500.KS
동화약품,000020,의약품 제조업,1976-03-24,코스피,000020.KS
디와이,013570,기타 금융업,1989-05-30,코스피,013570.KS
롯데에너지머티리얼즈,020150,전자부품 제조업,2011-03-04,코스피,020150.KS
롯데케미칼,011170,기초 화학물질 제조업,1991-05-30,코스피,011170.KS
명신산업,009900,자동차 신품 부품 제조업,2020-12-07,코스피,009900.KS
모나리자,012690,기타 종이 및 판지 제품 제조업,1988-10-14,코스피,012690.KS
무림페이퍼,009200,"펄프, 종이 및 판지 제조업",1990-06-09,코스피,009200.KS
미래에셋글로벌리츠,396690,부동산 임대 및 공급업,2021-12-03,코스피,396690.KS
미래에셋맵스리츠,357250,부동산 임대 및 공급업,2020-08-05,코스피,357250.KS
미래에셋생명,085620,보험업,2015-07-08,코스피,085620.KS
미원홀딩스,107590,기타 금융업,2009-03-02,코스피,107590.KS
부산산업,011390,"시멘트, 석회, 플라스터 및 그 제품 제조업",1990-09-14,코스피,011390.KS
삼성제약,001360,의약품 제조업,1975-07-04,코스피,001360.KS
삼정펄프,009770,"펄프, 종이 및 판지 제조업",2006-10-17,코스피,009770.KS
선도전기,007610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1989-11-30,코스피,007610.KS
선진,136490,동물용 사료 및 조제식품 제조업,2011-02-16,코스피,136490.KS
세원정공,021820,자동차 신품 부품 제조업,1996-07-03,코스피,021820.KS
신성통상,005390,기타 전문 도매업,1975-12-22,코스피,005390.KS
신한알파리츠,293940,부동산 임대 및 공급업,2018-08-08,코스피,293940.KS
신한지주,055550,기타 금융업,2001-09-10,코스피,055550.KS
쏘카,403550,운송장비 임대업,2022-08-22,코스피,403550.KS
아시아나항공,020560,항공 여객 운송업,2008-03-28,코스피,020560.KS
아이에이치큐,003560,"영화, 비디오물, 방송프로그램 제작 및 배급업",1973-12-18,코스피,003560.KS
엔씨소프트,036570,소프트웨어 개발 및 공급업,2003-05-22,코스피,036570.KS
엔피씨,004250,플라스틱제품 제조업,1969-09-08,코스피,004250.KS
와이투솔루션,011690,반도체 제조업,1995-12-21,코스피,011690.KS
우진,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26,코스피,105840.KS
웅진,016880,회사 본부 및 경영 컨설팅 서비스업,1994-11-05,코스피,016880.KS
원림,005820,직물직조 및 직물제품 제조업,1990-04-20,코스피,005820.KS
이건산업,008250,나무제품 제조업,1988-10-21,코스피,008250.KS
이구산업,025820,1차 비철금속 제조업,1995-08-18,코스피,025820.KS
이리츠코크렙,088260,부동산 임대 및 공급업,2018-06-27,코스피,088260.KS
인바이오젠,101140,기계장비 및 관련 물품 도매업,2008-04-02,코스피,101140.KS
인스코비,006490,전기 통신업,1985-01-17,코스피,006490.KS
인지컨트롤스,023800,자동차 신품 부품 제조업,1997-06-23,코스피,023800.KS
일동홀딩스,000230,의약품 제조업,1975-06-28,코스피,000230.KS
일신방직,003200,방적 및 가공사 제조업,1973-05-23,코스피,003200.KS
일신석재,007110,"건축자재, 철물 및 난방장치 도매업",1986-03-04,코스피,007110.KS
제이준코스메틱,025620,기타 화학제품 제조업,1995-07-08,코스피,025620.KS
종근당바이오,063160,의약품 제조업,2001-12-11,코스피,063160.KS
주성코퍼레이션,109070,통신 및 방송 장비 제조업,2009-03-17,코스피,109070.KS
참엔지니어링,009310,특수 목적용 기계 제조업,1987-11-12,코스피,009310.KS
코람코더원리츠,417310,부동산 임대 및 공급업,2022-03-28,코스피,417310.KS
코람코라이프인프라리츠,357120,부동산 임대 및 공급업,2020-08-31,코스피,357120.KS
코스모화학,005420,기타 화학제품 제조업,1987-07-23,코스피,005420.KS
코오롱ENP,138490,합성고무 및 플라스틱 물질 제조업,2011-06-15,코스피,138490.KS
코오롱글로벌,003070,토목 건설업,1978-09-15,코스피,003070.KS
쿠쿠홈시스,284740,개인 및 가정용품 임대업,2018-01-11,코스피,284740.KS
크라운제과,264900,"떡, 빵 및 과자류 제조업",2017-04-11,코스피,264900.KS
키다리스튜디오,020120,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",1996-07-03,코스피,020120.KS
키움증권,039490,금융 지원 서비스업,2009-08-03,코스피,039490.KS
티비에이치글로벌,084870,봉제의복 제조업,2005-12-19,코스피,084870.KS
퍼시스,016800,가구 제조업,1996-12-24,코스피,016800.KS
풍산홀딩스,005810,기타 금융업,1988-07-28,코스피,005810.KS
한국금융지주,071050,기타 금융업,2003-07-21,코스피,071050.KS
한국석유공업,004090,기타 비금속 광물제품 제조업,1977-06-25,코스피,004090.KS
한국주철관공업,000970,1차 철강 제조업,1969-12-12,코스피,000970.KS
한국카본,017960,"구조용 금속제품, 탱크 및 증기발생기 제조업",1995-07-08,코스피,017960.KS
한국특강,007280,1차 철강 제조업,1989-11-13,코스피,007280.KS
한일홀딩스,003300,"시멘트, 석회, 플라스터 및 그 제품 제조업",1969-11-20,코스피,003300.KS
한진칼,180640,기타 금융업,2013-09-16,코스피,180640.KS
한창,005110,기계장비 및 관련 물품 도매업,1976-06-01,코스피,005110.KS
한화시스템,272210,전자부품 제조업,2019-11-13,코스피,272210.KS
현대비앤지스틸,004560,1차 철강 제조업,1987-03-24,코스피,004560.KS
현대오토에버,307950,소프트웨어 개발 및 공급업,2019-03-28,코스피,307950.KS
